perfume_name,brand_value,main_accord1,main_accord2,main_accord3,season,longevity,rating,voters_num,main_accord1_ratio,main_accord2_ratio,main_accord3_ratio
Sexxy Shoo Pink,normal,FRUITSVEGETABLESANDNUTS,FLOWERS,SWEETSANDGOURMANDSMELLS,spring,moderate,3.6,5,0.37,0.34,0.29
Sexxy Shoo Red,normal,CITRUSSMELLS,SPICES,FLOWERS,winter,eternal,2.67,3,0.4,0.31,0.3
Sexxy Shoo Silver,normal,FLOWERS,WHITEFLOWERS,CITRUSSMELLS,winter,weak,2,1,0.43,0.33,0.24
Together Forever,normal,FLOWERS,CITRUSSMELLS,WOODSANDMOSSES,summer,weak,4.25,8,0.39,0.36,0.25
Ladies,normal,WOODSANDMOSSES,FLOWERS,WOODSANDMOSSES,winter,long_lasting,3.47,32,0.39,0.32,0.29
London Spirit For Men,normal,SPICES,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,winter,weak,3.4,5,0.35,0.33,0.33
London Spirit For Women,normal,WHITEFLOWERS,FRUITSVEGETABLESANDNUTS,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,moderate,3.5,12,0.4,0.33,0.27
RDLC for Men,normal,FRUITSVEGETABLESANDNUTS,MUSKAMBERANIMALICSMELLS,SPICES,fall,moderate,3.89,18,0.34,0.34,0.32
RDLC for Women,normal,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,FRUITSVEGETABLESANDNUTS,summer,moderate,3.44,16,0.39,0.32,0.28
Panache Classique,normal,FLOWERS,MUSKAMBERANIMALICSMELLS,MUSKAMBERANIMALICSMELLS,winter,moderate,4,2,0.39,0.3,0.3
Panache La Belle Vie,normal,CITRUSSMELLS,WHITEFLOWERS,FLOWERS,summer,very_weak,4.6,5,0.43,0.34,0.23
Panache Original,normal,FLOWERS,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,spring,long_lasting,4.13,53,0.36,0.35,0.29
Presence(s) de Bach,normal,WHITEFLOWERS,FRUITSVEGETABLESANDNUTS,CITRUSSMELLS,spring,moderate,4.18,61,0.43,0.29,0.27
Vivacite(s) de Bach,normal,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,FLOWERS,fall,moderate,4.22,83,0.36,0.35,0.29
Allegresse,normal,CITRUSSMELLS,WOODSANDMOSSES,SPICES,spring,weak,3.62,13,0.48,0.28,0.24
Caged,normal,WHITEFLOWERS,WOODSANDMOSSES,WOODSANDMOSSES,spring,weak,3.83,6,0.36,0.32,0.32
Lipsy London Love,normal,CITRUSSMELLS,WHITEFLOWERS,FLOWERS,summer,weak,3.56,9,0.36,0.33,0.31
A Perfect Gentleman,normal,WHITEFLOWERS,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,winter,long_lasting,3.83,6,0.36,0.36,0.28
A Perfect Lady,normal,WHITEFLOWERS,SWEETSANDGOURMANDSMELLS,SPICES,spring,long_lasting,3.5,2,0.39,0.34,0.27
A Perfect Man,normal,CITRUSSMELLS,SPICES,GREENSHERBSANDFOUGERES,spring,eternal,4.2,5,0.4,0.31,0.3
A Perfect Woman,normal,GREENSHERBSANDFOUGERES,WHITEFLOWERS,WHITEFLOWERS,winter,moderate,5,1,0.39,0.31,0.3
An Ideal Husband,normal,SPICES,GREENSHERBSANDFOUGERES,MUSKAMBERANIMALICSMELLS,spring,moderate,3.33,9,0.35,0.33,0.32
An Ideal Lover,normal,CITRUSSMELLS,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,winter,moderate,4,4,0.38,0.33,0.29
Catleya,normal,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,FLOWERS,winter,eternal,5,2,0.42,0.3,0.28
Gold Magic,normal,FRUITSVEGETABLESANDNUTS,CITRUSSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,3.79,34,0.37,0.33,0.3
Wishmaker,normal,SWEETSANDGOURMANDSMELLS,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,moderate,3.91,22,0.45,0.29,0.26
Wishmaker Party Edition,normal,FLOWERS,CITRUSSMELLS,FLOWERS,fall,long_lasting,3.62,8,0.35,0.34,0.3
Botanical Essence No. 100,normal,WHITEFLOWERS,WOODSANDMOSSES,CITRUSSMELLS,spring,moderate,3.82,33,0.41,0.3,0.29
Botanical Essence No. 20,normal,CITRUSSMELLS,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,long_lasting,4.25,12,0.39,0.33,0.28
Botanical Essence No. 9,normal,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,GREENSHERBSANDFOUGERES,fall,moderate,4,16,0.35,0.33,0.31
Botanical Essence No.1,normal,CITRUSSMELLS,GREENSHERBSANDFOUGERES,SPICES,summer,moderate,3.78,78,0.44,0.32,0.24
Botanical Essence No.15,normal,WOODSANDMOSSES,SPICES,SPICES,fall,moderate,4.33,107,0.37,0.37,0.26
Coconut Vanilla Orchid,normal,SPICES,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,summer,moderate,4.36,11,0.38,0.31,0.3
"Hey, Sugar",normal,SWEETSANDGOURMANDSMELLS,CITRUSSMELLS,SPICES,summer,long_lasting,4.12,8,0.43,0.29,0.28
Sugar Magnolia,normal,FLOWERS,SWEETSANDGOURMANDSMELLS,WOODSANDMOSSES,summer,weak,4.67,9,0.39,0.31,0.3
Fairytales,normal,FRUITSVEGETABLESANDNUTS,SPICES,SWEETSANDGOURMANDSMELLS,winter,weak,3.94,52,0.39,0.31,0.3
Life's a Bed of Roses,normal,FLOWERS,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,weak,4.19,27,0.46,0.29,0.25
Pink Pearls,normal,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,WHITEFLOWERS,spring,moderate,3.71,21,0.47,0.27,0.26
Manchester Cologne,normal,WOODSANDMOSSES,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,winter,moderate,3.5,8,0.41,0.3,0.29
Parfume d’Extase,normal,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,spring,moderate,3.67,441,0.37,0.33,0.3
How To Marry A Millionaire,normal,NATURALANDSYNTHETICPOPULARANDWEIRD,SPICES,WHITEFLOWERS,fall,long_lasting,4.04,73,0.34,0.34,0.33
Mark Wright For Men,normal,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,FLOWERS,summer,weak,3,2,0.34,0.33,0.33
Mark Wright For Women,normal,WHITEFLOWERS,CITRUSSMELLS,SPICES,summer,long_lasting,3,2,0.36,0.33,0.31
Mrs Wright,normal,CITRUSSMELLS,FRUITSVEGETABLESANDNUTS,MUSKAMBERANIMALICSMELLS,summer,weak,3,2,0.4,0.33,0.26
Lemon,normal,CITRUSSMELLS,GREENSHERBSANDFOUGERES,GREENSHERBSANDFOUGERES,summer,weak,3.61,38,0.49,0.26,0.25
Plum,normal,WHITEFLOWERS,FRUITSVEGETABLESANDNUTS,WOODSANDMOSSES,fall,moderate,4.06,141,0.45,0.3,0.25
Matthew Williamson,normal,WHITEFLOWERS,SPICES,CITRUSSMELLS,spring,moderate,3.76,99,0.41,0.31,0.28
Matthew Williamson Sheer,normal,FLOWERS,WHITEFLOWERS,CITRUSSMELLS,spring,long_lasting,4,44,0.35,0.34,0.3
Voyeur Verde,normal,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,MUSKAMBERANIMALICSMELLS,winter,moderate,4.2,5,0.45,0.28,0.27
Just Musk,normal,NATURALANDSYNTHETICPOPULARANDWEIRD,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,winter,long_lasting,4.04,25,0.36,0.36,0.28
Pure Silk,normal,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,summer,long_lasting,4.45,11,0.34,0.33,0.33
A Night In Marrakesh,normal,WOODSANDMOSSES,SPICES,MUSKAMBERANIMALICSMELLS,winter,long_lasting,4.8,5,0.4,0.39,0.21
Lost in the Desert,normal,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,WHITEFLOWERS,winter,long_lasting,4.75,4,0.48,0.26,0.26
Tales from Zanzibar,normal,CITRUSSMELLS,FRUITSVEGETABLESANDNUTS,FRUITSVEGETABLESANDNUTS,spring,long_lasting,4.44,18,0.4,0.34,0.26
Ghzalh,normal,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,SPICES,spring,moderate,3.2,5,0.5,0.26,0.25
Isla Rose,normal,FRUITSVEGETABLESANDNUTS,FLOWERS,SPICES,spring,weak,3.5,8,0.39,0.31,0.3
Avaritia,normal,WOODSANDMOSSES,WOODSANDMOSSES,SPICES,fall,very_weak,3.75,12,0.38,0.34,0.28
Black Avaritia,normal,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,WOODSANDMOSSES,fall,long_lasting,4.31,13,0.41,0.35,0.25
Era,normal,MUSKAMBERANIMALICSMELLS,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,fall,long_lasting,4.45,20,0.37,0.32,0.3
Gula,normal,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,FLOWERS,winter,long_lasting,4.06,17,0.42,0.32,0.26
Imperia by Rowan Row,normal,GREENSHERBSANDFOUGERES,CITRUSSMELLS,GREENSHERBSANDFOUGERES,spring,moderate,4.75,4,0.41,0.3,0.3
Luxuria,normal,SWEETSANDGOURMANDSMELLS,SPICES,FRUITSVEGETABLESANDNUTS,fall,long_lasting,4.5,80,0.35,0.33,0.32
Rose Luxuria,normal,WOODSANDMOSSES,WHITEFLOWERS,CITRUSSMELLS,summer,moderate,4.5,6,0.38,0.31,0.31
Superbia,normal,FLOWERS,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,winter,long_lasting,4.04,24,0.35,0.33,0.32
Tristitia,normal,FLOWERS,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,winter,long_lasting,3.5,14,0.4,0.34,0.26
Caritas,normal,SPICES,MUSKAMBERANIMALICSMELLS,SPICES,winter,long_lasting,3.8,5,0.45,0.3,0.25
Castitas,normal,WHITEFLOWERS,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,winter,weak,3.67,3,0.38,0.35,0.27
Humanitas,normal,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,spring,long_lasting,4.22,23,0.39,0.36,0.26
Humilitas,normal,SPICES,CITRUSSMELLS,SPICES,fall,moderate,4,12,0.4,0.3,0.3
Industria,normal,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,SPICES,winter,moderate,3.33,3,0.37,0.33,0.3
Patientia,normal,FLOWERS,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,fall,moderate,4,3,0.37,0.37,0.26
Temperantia,normal,SPICES,WOODSANDMOSSES,FLOWERS,winter,long_lasting,4,4,0.4,0.34,0.26
White Castitas,normal,FLOWERS,SPICES,SWEETSANDGOURMANDSMELLS,winter,moderate,3.9,10,0.35,0.34,0.31
Nightlife for Her,normal,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,summer,weak,2.73,22,0.39,0.35,0.26
Nightlife for Him,normal,NATURALANDSYNTHETICPOPULARANDWEIRD,GREENSHERBSANDFOUGERES,WHITEFLOWERS,summer,very_weak,3.58,12,0.4,0.32,0.28
Vallee Des Rois,normal,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,WHITEFLOWERS,fall,eternal,4.83,18,0.42,0.3,0.28
Babe Dreams,normal,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,FLOWERS,spring,moderate,3.64,58,0.38,0.32,0.31
Babe Night,normal,WHITEFLOWERS,CITRUSSMELLS,SPICES,winter,moderate,4.26,19,0.39,0.3,0.3
Babe Oud,normal,WOODSANDMOSSES,FLOWERS,SPICES,fall,long_lasting,3.23,22,0.41,0.3,0.29
Babe Power,normal,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,SPICES,winter,moderate,3.89,187,0.45,0.29,0.25
Boss Babe,normal,SPICES,SWEETSANDGOURMANDSMELLS,WOODSANDMOSSES,fall,long_lasting,3.83,53,0.36,0.33,0.32
Chill Babe,normal,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,3.88,16,0.4,0.36,0.24
Real Babe,normal,SWEETSANDGOURMANDSMELLS,MUSKAMBERANIMALICSMELLS,WHITEFLOWERS,summer,weak,4.2,10,0.36,0.33,0.3
Monsoon,normal,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,FLOWERS,fall,moderate,3.57,53,0.34,0.33,0.33
Monsoon (original),normal,WHITEFLOWERS,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,4.57,120,0.44,0.3,0.26
Monsoon Eau,normal,WOODSANDMOSSES,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,4.67,6,0.44,0.3,0.26
Shimo,normal,CITRUSSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,WHITEFLOWERS,spring,very_weak,4.23,26,0.34,0.34,0.32
Vanguard Eau De Parfum,normal,CITRUSSMELLS,WOODSANDMOSSES,WHITEFLOWERS,winter,very_weak,3.6,5,0.38,0.33,0.29
Vanguard Oud,normal,WOODSANDMOSSES,SPICES,SPICES,fall,moderate,4,1,0.35,0.34,0.31
Avalon,normal,CITRUSSMELLS,GREENSHERBSANDFOUGERES,SPICES,spring,weak,3.75,16,0.46,0.29,0.26
Black Tea,normal,SPICES,MUSKAMBERANIMALICSMELLS,SPICES,spring,moderate,4.34,64,0.42,0.3,0.28
Napier 1903,normal,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,FRUITSVEGETABLESANDNUTS,winter,moderate,4.5,2,0.37,0.32,0.31
Renshaw,normal,WHITEFLOWERS,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,winter,eternal,4,1,0.43,0.3,0.28
Illumine,normal,CITRUSSMELLS,WHITEFLOWERS,GREENSHERBSANDFOUGERES,spring,weak,4,1,0.36,0.33,0.31
Rosier,normal,GREENSHERBSANDFOUGERES,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,winter,long_lasting,4,1,0.38,0.32,0.31
Bon Viveur,normal,SPICES,GREENSHERBSANDFOUGERES,CITRUSSMELLS,spring,long_lasting,3.77,80,0.38,0.32,0.3
Gravitas Pour Homme,normal,GREENSHERBSANDFOUGERES,SPICES,CITRUSSMELLS,spring,long_lasting,4.15,202,0.36,0.34,0.3
Dark,normal,GREENSHERBSANDFOUGERES,MUSKAMBERANIMALICSMELLS,MUSKAMBERANIMALICSMELLS,fall,moderate,3.67,54,0.35,0.34,0.31
Neandertal Light,normal,GREENSHERBSANDFOUGERES,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,spring,eternal,3.59,80,0.34,0.33,0.33
Neandertal Them,normal,MUSKAMBERANIMALICSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,moderate,3.84,38,0.39,0.31,0.31
Neandertal Us,normal,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,SPICES,fall,long_lasting,4.12,33,0.36,0.35,0.29
Neandertal Dark 2015,normal,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,MUSKAMBERANIMALICSMELLS,winter,weak,2.83,18,0.36,0.36,0.28
Tobacco Musk Cologne,normal,WOODSANDMOSSES,CITRUSSMELLS,SPICES,winter,long_lasting,5,2,0.38,0.35,0.27
Summer Sun,normal,CITRUSSMELLS,FRUITSVEGETABLESANDNUTS,MUSKAMBERANIMALICSMELLS,summer,weak,4.25,12,0.38,0.32,0.3
Bleu Intense,normal,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,spring,weak,4.17,6,0.37,0.34,0.29
Tuberose and Jasmine,normal,WHITEFLOWERS,MUSKAMBERANIMALICSMELLS,FLOWERS,spring,moderate,3.94,17,0.38,0.33,0.29
II Aristocratic Red,normal,SPICES,MUSKAMBERANIMALICSMELLS,SPICES,winter,weak,5,2,0.34,0.34,0.32
Gourmand,normal,SWEETSANDGOURMANDSMELLS,SPICES,MUSKAMBERANIMALICSMELLS,winter,long_lasting,5,1,0.38,0.32,0.3
Orla Kiely,normal,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,WOODSANDMOSSES,spring,moderate,3.95,91,0.39,0.31,0.3
Rosie,normal,SPICES,WOODSANDMOSSES,FLOWERS,winter,moderate,4.53,15,0.35,0.35,0.3
Exclusive Pleasure,normal,CITRUSSMELLS,WHITEFLOWERS,SPICES,winter,eternal,4.71,7,0.39,0.3,0.3
Floromancy,normal,WHITEFLOWERS,FLOWERS,MUSKAMBERANIMALICSMELLS,winter,eternal,5,3,0.45,0.28,0.26
Juniper Bonsai,normal,MUSKAMBERANIMALICSMELLS,MUSKAMBERANIMALICSMELLS,GREENSHERBSANDFOUGERES,spring,eternal,4.5,4,0.43,0.28,0.28
Kalahari Dream,normal,MUSKAMBERANIMALICSMELLS,SPICES,MUSKAMBERANIMALICSMELLS,winter,eternal,4.67,6,0.36,0.35,0.29
Narcotic Oud,normal,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,RESINSANDBALSAMS,winter,eternal,4.25,4,0.39,0.32,0.28
Orphic Vanilla,normal,MUSKAMBERANIMALICSMELLS,SPICES,SPICES,winter,long_lasting,3.85,13,0.39,0.31,0.3
Rose Affair,normal,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,SWEETSANDGOURMANDSMELLS,winter,eternal,4.5,6,0.34,0.33,0.33
Brandied Pear,normal,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,GREENSHERBSANDFOUGERES,spring,moderate,3.5,36,0.38,0.34,0.27
Chocolate Vanille,normal,SPICES,MUSKAMBERANIMALICSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,winter,eternal,4.2,15,0.4,0.32,0.28
Darkincense,normal,MUSKAMBERANIMALICSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,SPICES,winter,weak,2.9,10,0.36,0.34,0.29
Pineapple Essenza,normal,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,SPICES,summer,long_lasting,3.79,39,0.36,0.33,0.31
Rose Grandeur,normal,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,winter,weak,3.44,9,0.36,0.32,0.31
Roses Musk,normal,FLOWERS,MUSKAMBERANIMALICSMELLS,SPICES,spring,long_lasting,4.54,13,0.45,0.29,0.26
Tuberose Vanille,normal,WHITEFLOWERS,CITRUSSMELLS,FLOWERS,summer,moderate,4.05,19,0.43,0.28,0.28
Velvet Oudh,normal,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,MUSKAMBERANIMALICSMELLS,winter,eternal,4,11,0.42,0.33,0.25
Sirius Rose,normal,FLOWERS,WOODSANDMOSSES,SPICES,winter,eternal,3.92,12,0.36,0.36,0.29
Root of all Goodness,normal,GREENSHERBSANDFOUGERES,MUSKAMBERANIMALICSMELLS,CITRUSSMELLS,summer,moderate,3.8,5,0.42,0.31,0.26
Run Of The River,normal,GREENSHERBSANDFOUGERES,SPICES,CITRUSSMELLS,summer,moderate,4.16,19,0.41,0.31,0.28
