perfume_name,brand_value,main_accord1,main_accord2,main_accord3,season,longevity,rating,voters_num,main_accord1_ratio,main_accord2_ratio,main_accord3_ratio
Agrumes Poudres,popular,SPICES,WHITEFLOWERS,SWEETSANDGOURMANDSMELLS,spring,moderate,4.28,50,0.43,0.3,0.27
Ambre Fleur d'Oranger,popular,WHITEFLOWERS,MUSKAMBERANIMALICSMELLS,CITRUSSMELLS,winter,moderate,4.59,17,0.39,0.33,0.28
Ambre Jasmin,popular,WHITEFLOWERS,MUSKAMBERANIMALICSMELLS,SPICES,winter,long_lasting,3.87,15,0.38,0.32,0.3
Ambre Vanille,popular,SPICES,MUSKAMBERANIMALICSMELLS,SWEETSANDGOURMANDSMELLS,winter,weak,3.93,28,0.45,0.32,0.23
Aqua Liguria,popular,CITRUSSMELLS,SPICES,WOODSANDMOSSES,summer,weak,3.71,28,0.49,0.26,0.24
Baies Roses Patchouly,popular,SPICES,SWEETSANDGOURMANDSMELLS,GREENSHERBSANDFOUGERES,winter,moderate,4.2,20,0.35,0.34,0.3
Baies Sauvages Jasmin,popular,FRUITSVEGETABLESANDNUTS,WHITEFLOWERS,WOODSANDMOSSES,summer,moderate,3.8,35,0.39,0.36,0.25
Baume et Bois,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,SPICES,fall,moderate,4.19,27,0.39,0.32,0.29
Bergamote Jasmin,popular,CITRUSSMELLS,WHITEFLOWERS,FLOWERS,spring,weak,4,7,0.45,0.29,0.25
Black Cherry,popular,FRUITSVEGETABLESANDNUTS,NATURALANDSYNTHETICPOPULARANDWEIRD,SPICES,winter,long_lasting,4.26,23,0.38,0.31,0.31
Blue Suit,popular,SPICES,GREENSHERBSANDFOUGERES,CITRUSSMELLS,summer,moderate,3.25,4,0.43,0.3,0.27
Cardamome,popular,SPICES,SPICES,CITRUSSMELLS,fall,moderate,4,11,0.41,0.33,0.26
Cassis Ambre,popular,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,SPICES,fall,long_lasting,3.92,13,0.34,0.34,0.31
Cerise Amande,popular,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,SPICES,spring,moderate,4.06,16,0.36,0.33,0.3
Cerise Exquise,popular,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,FRUITSVEGETABLESANDNUTS,winter,moderate,3.85,55,0.37,0.34,0.29
Charlotte Aux Fraises,popular,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,MUSKAMBERANIMALICSMELLS,summer,moderate,3.52,62,0.46,0.27,0.27
Chocolat,popular,SPICES,SWEETSANDGOURMANDSMELLS,SWEETSANDGOURMANDSMELLS,winter,moderate,3.57,35,0.46,0.29,0.26
Citronnade,popular,CITRUSSMELLS,SPICES,WOODSANDMOSSES,summer,weak,3.89,35,0.46,0.28,0.26
Coco,popular,MUSKAMBERANIMALICSMELLS,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,winter,moderate,3.65,86,0.37,0.32,0.31
Coco Lada,popular,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,4.17,6,0.45,0.33,0.21
Fairy Land,popular,SPICES,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,summer,eternal,3.4,5,0.4,0.3,0.3
Feuilles de Fraisier,popular,GREENSHERBSANDFOUGERES,FRUITSVEGETABLESANDNUTS,GREENSHERBSANDFOUGERES,summer,moderate,4.03,32,0.39,0.31,0.3
Figue,popular,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,WOODSANDMOSSES,summer,weak,3.4,5,0.47,0.29,0.23
Fleur d'Iris,popular,FLOWERS,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,moderate,4,16,0.38,0.32,0.31
Fleur d'Osmanthus,popular,WHITEFLOWERS,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,fall,moderate,3.1,10,0.41,0.31,0.28
Fleur de Cerisier,popular,FLOWERS,FRUITSVEGETABLESANDNUTS,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,weak,4.46,13,0.39,0.34,0.27
Fleur de Coton,popular,FLOWERS,CITRUSSMELLS,WHITEFLOWERS,spring,moderate,3.62,13,0.37,0.34,0.3
Fleur de Frangipanier,popular,FLOWERS,FRUITSVEGETABLESANDNUTS,WHITEFLOWERS,summer,moderate,3.6,5,0.39,0.32,0.29
Fleur de Gingembre,popular,FRUITSVEGETABLESANDNUTS,CITRUSSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,4.3,10,0.42,0.33,0.25
Fleur de Pivoine,popular,CITRUSSMELLS,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,moderate,4.38,8,0.4,0.32,0.28
Fleur de Reglisse,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,SPICES,SPICES,fall,weak,4.04,25,0.35,0.33,0.32
Flower Girl,popular,FLOWERS,FLOWERS,SPICES,summer,weak,3.5,12,0.37,0.37,0.26
Framboise Fleur d'Oranger,popular,FRUITSVEGETABLESANDNUTS,CITRUSSMELLS,SWEETSANDGOURMANDSMELLS,spring,weak,4.22,9,0.35,0.34,0.31
Freesia Magnolia,popular,FLOWERS,CITRUSSMELLS,WHITEFLOWERS,spring,moderate,3.98,40,0.45,0.34,0.2
Fruits Boises,popular,CITRUSSMELLS,WHITEFLOWERS,WOODSANDMOSSES,fall,moderate,4.17,6,0.43,0.28,0.28
Fruits Vanilles,popular,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,SPICES,summer,weak,5,1,0.41,0.36,0.23
Gentleman Lover,popular,FLOWERS,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,winter,long_lasting,4.29,7,0.38,0.32,0.3
Grenadine,popular,FRUITSVEGETABLESANDNUTS,FLOWERS,SWEETSANDGOURMANDSMELLS,fall,moderate,3.56,34,0.44,0.3,0.26
Groseille Fruits Rouges,popular,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,SPICES,summer,weak,3.46,59,0.45,0.31,0.23
Hippie's,popular,WOODSANDMOSSES,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,moderate,4.38,16,0.36,0.34,0.3
Hot Musk,popular,MUSKAMBERANIMALICSMELLS,WHITEFLOWERS,FLOWERS,winter,long_lasting,4.38,8,0.37,0.35,0.28
Jasmin Ylang Mimosa,popular,WHITEFLOWERS,GREENSHERBSANDFOUGERES,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,moderate,3.93,44,0.43,0.29,0.28
L'eau Lita,popular,SWEETSANDGOURMANDSMELLS,SPICES,FRUITSVEGETABLESANDNUTS,spring,moderate,3.74,19,0.43,0.31,0.26
L'eau Virile,popular,CITRUSSMELLS,GREENSHERBSANDFOUGERES,SPICES,spring,moderate,4,10,0.39,0.33,0.28
Lait de Figue,popular,FRUITSVEGETABLESANDNUTS,WOODSANDMOSSES,SWEETSANDGOURMANDSMELLS,summer,very_weak,2.29,7,0.4,0.31,0.29
Liberty Dream,popular,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,SWEETSANDGOURMANDSMELLS,spring,moderate,3.92,13,0.38,0.36,0.26
Litchi Rose,popular,FRUITSVEGETABLESANDNUTS,FLOWERS,FRUITSVEGETABLESANDNUTS,summer,weak,4.27,11,0.37,0.36,0.28
Little Sugar,popular,SPICES,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,winter,moderate,3.62,88,0.43,0.29,0.28
Love Infusion,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,WOODSANDMOSSES,winter,moderate,3.67,3,0.37,0.32,0.31
Madame Kiss,popular,CITRUSSMELLS,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,summer,weak,3,5,0.5,0.27,0.24
Mandarine Orchidee,popular,CITRUSSMELLS,FLOWERS,FLOWERS,summer,weak,3.53,17,0.41,0.32,0.28
Mangue Passion,popular,FRUITSVEGETABLESANDNUTS,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,summer,very_weak,3.41,34,0.38,0.33,0.3
Marshmallow,popular,SWEETSANDGOURMANDSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,SPICES,fall,moderate,3.42,60,0.45,0.29,0.26
Mers et Oceans,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,NATURALANDSYNTHETICPOPULARANDWEIRD,MUSKAMBERANIMALICSMELLS,summer,moderate,3.44,32,0.41,0.3,0.28
Merveilles Des Iles,popular,MUSKAMBERANIMALICSMELLS,SPICES,WHITEFLOWERS,fall,weak,5,1,0.33,0.33,0.33
Monoi et Tiare,popular,WHITEFLOWERS,SWEETSANDGOURMANDSMELLS,SPICES,summer,moderate,3.9,10,0.41,0.33,0.26
Mure Figue,popular,FRUITSVEGETABLESANDNUTS,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,spring,moderate,4.4,5,0.42,0.31,0.27
Musc Blanc,popular,WHITEFLOWERS,MUSKAMBERANIMALICSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,moderate,3.79,63,0.41,0.35,0.24
Musc De Rose,popular,FLOWERS,MUSKAMBERANIMALICSMELLS,FRUITSVEGETABLESANDNUTS,spring,moderate,4.09,11,0.43,0.3,0.27
Musc Patchouly,popular,CITRUSSMELLS,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,fall,weak,3.8,5,0.39,0.33,0.28
My Rose,popular,FLOWERS,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,winter,moderate,3.67,3,0.43,0.3,0.27
Myrtille Rose,popular,FRUITSVEGETABLESANDNUTS,FLOWERS,SWEETSANDGOURMANDSMELLS,winter,very_weak,3.7,23,0.42,0.29,0.29
Nectar de Rose,popular,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,winter,moderate,3.58,31,0.44,0.3,0.26
Neroli,popular,WHITEFLOWERS,CITRUSSMELLS,GREENSHERBSANDFOUGERES,summer,moderate,4.6,5,0.46,0.32,0.21
Orange Lunaire,popular,CITRUSSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,MUSKAMBERANIMALICSMELLS,winter,very_weak,4.5,2,0.43,0.31,0.27
Orange Mandarine Patchouly,popular,CITRUSSMELLS,WOODSANDMOSSES,WHITEFLOWERS,winter,moderate,3.67,6,0.46,0.28,0.26
Orchidee Gourmande,popular,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,FLOWERS,summer,weak,3.83,29,0.36,0.34,0.3
Oud Vanille,popular,WOODSANDMOSSES,SPICES,SPICES,winter,long_lasting,4.33,12,0.34,0.34,0.32
Pamplemousse Grenade,popular,CITRUSSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,WHITEFLOWERS,spring,weak,3.52,44,0.35,0.34,0.31
Patchouly,popular,WOODSANDMOSSES,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,fall,eternal,4.18,17,0.42,0.3,0.27
Patchouly Rose,popular,MUSKAMBERANIMALICSMELLS,FLOWERS,CITRUSSMELLS,spring,long_lasting,4,20,0.39,0.35,0.26
Patchouly Vanille,popular,WOODSANDMOSSES,FRUITSVEGETABLESANDNUTS,FRUITSVEGETABLESANDNUTS,fall,moderate,3.6,5,0.36,0.35,0.29
Peche Abricot,popular,FRUITSVEGETABLESANDNUTS,NATURALANDSYNTHETICPOPULARANDWEIRD,SWEETSANDGOURMANDSMELLS,spring,moderate,3.65,40,0.43,0.29,0.29
Peche Ananas Cedre,popular,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,FLOWERS,summer,moderate,4,3,0.4,0.31,0.29
Peche Jasmin,popular,WHITEFLOWERS,MUSKAMBERANIMALICSMELLS,FLOWERS,spring,very_weak,3.71,7,0.41,0.31,0.28
Peche Mandarine,popular,FRUITSVEGETABLESANDNUTS,MUSKAMBERANIMALICSMELLS,WHITEFLOWERS,fall,weak,3.33,9,0.38,0.31,0.31
Petit Amande,popular,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,FRUITSVEGETABLESANDNUTS,fall,moderate,4.4,5,0.41,0.31,0.28
Poire Santal,popular,CITRUSSMELLS,SPICES,SWEETSANDGOURMANDSMELLS,spring,moderate,4,6,0.37,0.33,0.3
Poivre Noir Jasmin,popular,CITRUSSMELLS,WOODSANDMOSSES,WOODSANDMOSSES,fall,moderate,4.24,29,0.39,0.37,0.24
Pomme Jasmin,popular,WHITEFLOWERS,FRUITSVEGETABLESANDNUTS,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,weak,4,8,0.39,0.33,0.28
Praline Rose,popular,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,winter,long_lasting,4,5,0.37,0.32,0.31
Red Dress,popular,WOODSANDMOSSES,WOODSANDMOSSES,FLOWERS,spring,moderate,4.27,11,0.37,0.35,0.28
Rose Jasmin,popular,FLOWERS,WHITEFLOWERS,FLOWERS,spring,eternal,3.5,4,0.42,0.33,0.25
Rose Noire,popular,FLOWERS,MUSKAMBERANIMALICSMELLS,MUSKAMBERANIMALICSMELLS,winter,moderate,3.93,28,0.41,0.32,0.28
Sable d'Orient,popular,WHITEFLOWERS,SPICES,SWEETSANDGOURMANDSMELLS,spring,long_lasting,4.44,16,0.38,0.34,0.29
Sun Spirit,popular,SPICES,FRUITSVEGETABLESANDNUTS,WHITEFLOWERS,summer,long_lasting,3.18,11,0.37,0.37,0.26
The Vert,popular,CITRUSSMELLS,GREENSHERBSANDFOUGERES,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,3.72,39,0.4,0.34,0.25
Vahine Des Iles,popular,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,winter,moderate,4.67,3,0.43,0.29,0.28
Vanille Boisee,popular,FLOWERS,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,moderate,4.33,3,0.36,0.32,0.32
Vanille Coco,popular,SPICES,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,winter,long_lasting,4.07,14,0.42,0.29,0.28
Vanille Reglisse,popular,SPICES,CITRUSSMELLS,SPICES,winter,long_lasting,3.95,40,0.37,0.32,0.31
Vanille Ylang Ylang,popular,WHITEFLOWERS,SWEETSANDGOURMANDSMELLS,SPICES,summer,long_lasting,4.17,36,0.36,0.34,0.3
Verveine Fizz,popular,CITRUSSMELLS,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,summer,weak,4,4,0.44,0.32,0.24
Violette Framboise,popular,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,FLOWERS,summer,weak,4.05,37,0.42,0.32,0.27
Wild Musk,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,fall,moderate,4.25,8,0.36,0.32,0.32
Yummy Candy,popular,CITRUSSMELLS,SPICES,FRUITSVEGETABLESANDNUTS,fall,moderate,3.76,17,0.39,0.31,0.3
Alaia,popular,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,MUSKAMBERANIMALICSMELLS,fall,long_lasting,3.86,2030,0.36,0.33,0.31
Alaia Extrait de Parfum,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,MUSKAMBERANIMALICSMELLS,FLOWERS,summer,eternal,3.9,30,0.39,0.32,0.28
Alaia Nude,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,moderate,3.92,466,0.36,0.34,0.3
Faubourg,popular,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,FLOWERS,winter,moderate,3.75,12,0.39,0.32,0.29
Le Royal,popular,SPICES,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,summer,moderate,4.34,59,0.39,0.33,0.29
Legacy Black,popular,WOODSANDMOSSES,SPICES,SWEETSANDGOURMANDSMELLS,winter,eternal,4.16,25,0.44,0.28,0.28
Legacy WB,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,FLOWERS,winter,weak,3.67,6,0.41,0.32,0.26
Legacy White,popular,WHITEFLOWERS,FRUITSVEGETABLESANDNUTS,WOODSANDMOSSES,summer,moderate,4.07,15,0.4,0.31,0.29
Oscent Black,popular,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,GREENSHERBSANDFOUGERES,winter,long_lasting,3.98,119,0.39,0.37,0.25
Oscent Pink,popular,CITRUSSMELLS,WHITEFLOWERS,SWEETSANDGOURMANDSMELLS,spring,long_lasting,3.83,150,0.35,0.33,0.32
Oscent Rouge,popular,WOODSANDMOSSES,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,spring,long_lasting,3.64,36,0.44,0.28,0.28
Oscent White,popular,WOODSANDMOSSES,WOODSANDMOSSES,RESINSANDBALSAMS,fall,long_lasting,4.03,61,0.45,0.28,0.27
St Honore,popular,SPICES,SPICES,CITRUSSMELLS,summer,moderate,4.35,20,0.36,0.34,0.31
Majestic Nard,popular,WOODSANDMOSSES,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,winter,long_lasting,5,1,0.4,0.32,0.29
The Majestic Amber,popular,SWEETSANDGOURMANDSMELLS,MUSKAMBERANIMALICSMELLS,GREENSHERBSANDFOUGERES,fall,long_lasting,3.67,57,0.38,0.33,0.29
The Majestic Jardin,popular,SWEETSANDGOURMANDSMELLS,SPICES,FRUITSVEGETABLESANDNUTS,fall,long_lasting,3.92,105,0.35,0.33,0.32
The Majestic Musk,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,GREENSHERBSANDFOUGERES,SPICES,spring,moderate,3.81,54,0.35,0.33,0.32
The Majestic Oud,popular,FRUITSVEGETABLESANDNUTS,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,winter,moderate,3.03,33,0.38,0.33,0.3
The Majestic Vanilla,popular,MUSKAMBERANIMALICSMELLS,CITRUSSMELLS,SPICES,fall,moderate,3.78,46,0.36,0.34,0.3
The Majestic Vetiver,popular,GREENSHERBSANDFOUGERES,FLOWERS,WOODSANDMOSSES,fall,moderate,3.81,27,0.46,0.29,0.25
Altesse Mysore,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,fall,eternal,3.63,120,0.35,0.35,0.3
Argentic,popular,SPICES,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,spring,long_lasting,3.92,80,0.37,0.35,0.28
Black Muscs,popular,FLOWERS,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,fall,eternal,3.84,325,0.34,0.34,0.32
Golden Oud,popular,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,winter,eternal,3.47,148,0.45,0.29,0.26
Iris Violet,popular,FRUITSVEGETABLESANDNUTS,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,spring,moderate,3.72,437,0.35,0.34,0.31
Mandarine Sultane,popular,CITRUSSMELLS,WOODSANDMOSSES,WHITEFLOWERS,spring,moderate,3.71,263,0.4,0.31,0.3
Morning Muscs,popular,MUSKAMBERANIMALICSMELLS,CITRUSSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,long_lasting,3.92,391,0.34,0.33,0.33
Rose Alba,popular,WOODSANDMOSSES,FRUITSVEGETABLESANDNUTS,FLOWERS,fall,long_lasting,3.95,74,0.38,0.33,0.28
Rose Oud,popular,FLOWERS,WOODSANDMOSSES,SWEETSANDGOURMANDSMELLS,spring,moderate,3.75,273,0.39,0.33,0.29
Silver Ombre,popular,MUSKAMBERANIMALICSMELLS,SPICES,FLOWERS,winter,long_lasting,3.9,178,0.37,0.32,0.31
Zafeer Oud Vanille,popular,SPICES,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,winter,long_lasting,4.01,609,0.39,0.37,0.25
Heaven,popular,CITRUSSMELLS,WHITEFLOWERS,WOODSANDMOSSES,fall,long_lasting,4.12,16,0.44,0.28,0.28
Liyoli,popular,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,moderate,3.85,13,0.38,0.33,0.3
Pure Art,popular,SPICES,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,winter,weak,4,9,0.46,0.27,0.27
Western Leather Black,popular,GREENSHERBSANDFOUGERES,CITRUSSMELLS,SPICES,fall,moderate,3.95,44,0.39,0.33,0.28
Western Leather Goldskin,popular,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,MUSKAMBERANIMALICSMELLS,spring,long_lasting,3.7,10,0.4,0.31,0.29
Western Leather White,popular,FRUITSVEGETABLESANDNUTS,SWEETSANDGOURMANDSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,spring,moderate,3.26,93,0.47,0.28,0.25
Aube Rubis,popular,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,GREENSHERBSANDFOUGERES,fall,long_lasting,3.9,234,0.39,0.31,0.3
Bois Sikar,popular,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,GREENSHERBSANDFOUGERES,winter,long_lasting,3.75,192,0.46,0.27,0.26
Cuir Sacre,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,SPICES,fall,long_lasting,3.98,261,0.38,0.34,0.28
Iris Fauve,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,SPICES,fall,long_lasting,4.15,280,0.35,0.34,0.31
Larmes du Desert,popular,WOODSANDMOSSES,MUSKAMBERANIMALICSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,long_lasting,4.16,354,0.44,0.34,0.22
Lune Feline,popular,MUSKAMBERANIMALICSMELLS,RESINSANDBALSAMS,SPICES,winter,long_lasting,4.21,1052,0.36,0.32,0.32
Musc Immortel,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,fall,long_lasting,4.02,107,0.36,0.32,0.32
Rose Omeyyade,popular,FLOWERS,SWEETSANDGOURMANDSMELLS,WOODSANDMOSSES,fall,long_lasting,4.14,420,0.36,0.33,0.31
Pomelo Riviera,popular,CITRUSSMELLS,WHITEFLOWERS,SPICES,summer,moderate,3.89,94,0.44,0.35,0.21
Riviera Drive,popular,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,SPICES,summer,moderate,4.1,109,0.39,0.34,0.27
Riviera Lazuli,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,CITRUSSMELLS,summer,moderate,3.76,111,0.37,0.32,0.31
Rouge Saray,popular,WOODSANDMOSSES,SWEETSANDGOURMANDSMELLS,FRUITSVEGETABLESANDNUTS,fall,long_lasting,4.24,229,0.36,0.34,0.3
Blanc Polychrome,popular,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,GREENSHERBSANDFOUGERES,summer,moderate,3.84,93,0.45,0.29,0.25
Choeur Des Anges,popular,FRUITSVEGETABLESANDNUTS,CITRUSSMELLS,SWEETSANDGOURMANDSMELLS,spring,moderate,3.97,296,0.36,0.36,0.28
Crepuscule Des Ames,popular,SPICES,GREENSHERBSANDFOUGERES,MUSKAMBERANIMALICSMELLS,fall,moderate,3.72,134,0.38,0.36,0.26
Nuda Veritas,popular,WHITEFLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,CITRUSSMELLS,summer,moderate,4.02,190,0.4,0.31,0.29
Acteur,popular,FLOWERS,WOODSANDMOSSES,SPICES,fall,long_lasting,4.22,446,0.36,0.33,0.31
Azzaro 9,popular,FLOWERS,WHITEFLOWERS,WHITEFLOWERS,spring,moderate,4.27,328,0.39,0.33,0.28
Azzaro by Parfums Loris Azzaro 1975,popular,MUSKAMBERANIMALICSMELLS,WOODSANDMOSSES,WHITEFLOWERS,fall,long_lasting,4.27,92,0.37,0.32,0.32
Azzaro Sport,popular,GREENSHERBSANDFOUGERES,FLOWERS,WOODSANDMOSSES,summer,moderate,3.76,84,0.41,0.33,0.26
Azzaro Sport Eau de Toilette,popular,GREENSHERBSANDFOUGERES,CITRUSSMELLS,WOODSANDMOSSES,spring,weak,3.12,8,0.4,0.3,0.3
Azzura,popular,FRUITSVEGETABLESANDNUTS,CITRUSSMELLS,GREENSHERBSANDFOUGERES,summer,moderate,3.73,330,0.39,0.35,0.25
Blue Charm,popular,FLOWERS,NATURALANDSYNTHETICPOPULARANDWEIRD,FRUITSVEGETABLESANDNUTS,spring,weak,3.95,110,0.49,0.26,0.25
Cockpit,popular,SPICES,CITRUSSMELLS,MUSKAMBERANIMALICSMELLS,fall,long_lasting,4.04,27,0.38,0.32,0.29
Decibel,popular,MUSKAMBERANIMALICSMELLS,SPICES,RESINSANDBALSAMS,winter,long_lasting,3.46,832,0.38,0.33,0.29
Eau Belle D'Azzaro,popular,CITRUSSMELLS,FLOWERS,WOODSANDMOSSES,summer,moderate,4.05,382,0.38,0.33,0.29
Jetlag,popular,SPICES,CITRUSSMELLS,WOODSANDMOSSES,spring,moderate,3.92,64,0.4,0.33,0.27
Jolie Rose,popular,CITRUSSMELLS,FLOWERS,FLOWERS,spring,weak,3.52,67,0.36,0.32,0.32
Onyx,popular,SPICES,GREENSHERBSANDFOUGERES,SPICES,fall,long_lasting,3.96,302,0.35,0.35,0.3
Silver Black,popular,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,CITRUSSMELLS,fall,long_lasting,3.85,674,0.37,0.35,0.28
Travelling,popular,SPICES,GREENSHERBSANDFOUGERES,FRUITSVEGETABLESANDNUTS,fall,moderate,3.84,38,0.36,0.36,0.29
Azzaro Chrome Aqua,popular,GREENSHERBSANDFOUGERES,SPICES,GREENSHERBSANDFOUGERES,summer,moderate,4.14,470,0.4,0.3,0.3
Azzaro Chrome Extreme,popular,GREENSHERBSANDFOUGERES,NATURALANDSYNTHETICPOPULARANDWEIRD,CITRUSSMELLS,summer,long_lasting,4.27,297,0.38,0.32,0.3
Azzaro Chrome Intense,popular,CITRUSSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,SPICES,summer,long_lasting,3.7,216,0.39,0.32,0.29
Azzaro Chrome Limited Edition 2015,popular,CITRUSSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,3.95,95,0.36,0.33,0.31
Azzaro Chrome Summer,popular,CITRUSSMELLS,SPICES,GREENSHERBSANDFOUGERES,summer,moderate,3.86,114,0.41,0.32,0.27
Chrome,popular,CITRUSSMELLS,GREENSHERBSANDFOUGERES,WOODSANDMOSSES,summer,moderate,3.92,4724,0.38,0.35,0.27
Chrome Eau de Parfum,popular,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,CITRUSSMELLS,summer,long_lasting,3.92,25,0.37,0.35,0.28
Chrome Limited Edition 2016,popular,NATURALANDSYNTHETICPOPULARANDWEIRD,WOODSANDMOSSES,NATURALANDSYNTHETICPOPULARANDWEIRD,summer,moderate,4.16,44,0.45,0.28,0.26
Chrome Pure,popular,CITRUSSMELLS,WOODSANDMOSSES,GREENSHERBSANDFOUGERES,spring,long_lasting,4.04,629,0.41,0.3,0.29
Chrome Sport,popular,CITRUSSMELLS,NATURALANDSYNTHETICPOPULARANDWEIRD,GREENSHERBSANDFOUGERES,summer,moderate,4.17,950,0.48,0.3,0.22
